year_x,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,County Name,State Name,Males 18-24 %,Females 65+ %,White alone %,Black or African American alone %,"less than $39,999 %","more than $200,000 %",Regular high school diploma %,Master's degree %,In labor force %,Not in labor force %,year_y
2016,Georgia,GA,Taylor,DONALD TRUMP,REPUBLICAN,2064,3408,Taylor County,Georgia,0.11941410129096326,0.20110957004160887,0.5824754608570745,0.3901125209480488,0.6318289786223278,0.020190023752969122,0.2859888190076869,0.025681341719077568,0.5095942580928665,0.49040574190713343,2016
2016,Georgia,GA,Telfair,DONALD TRUMP,REPUBLICAN,2450,3796,Telfair County,Georgia,0.07352941176470588,0.20868689774198187,0.5779945138677233,0.4037183785431271,0.6616438356164384,0.0027397260273972603,0.3682498373454782,0.028871177618737802,0.33677700982175335,0.6632229901782466,2016
2016,Georgia,GA,Terrell,HILLARY CLINTON,DEMOCRAT,2267,4189,Terrell County,Georgia,0.08926501275214468,0.19672131147540983,0.3656373193166886,0.623850197109067,0.5981280193236715,0.012983091787439614,0.2593015665796345,0.03214751958224543,0.5181260457334077,0.4818739542665923,2016
2016,Georgia,GA,Thomas,DONALD TRUMP,REPUBLICAN,11228,18802,Thomas County,Georgia,0.08770530267480056,0.18156082308699878,0.6048869422149098,0.3601618605064811,0.5116104001389774,0.02484220279112861,0.2676976622012083,0.053782505910165486,0.5565380037408604,0.4434619962591396,2016
2016,Georgia,GA,Tift,DONALD TRUMP,REPUBLICAN,9584,14219,Tift County,Georgia,0.12557220141489805,0.15153491405412958,0.6390848099088251,0.29375046078985523,0.5241159781330011,0.027887343436440386,0.29836538836655874,0.05528030273475598,0.554161120618622,0.44583887938137795,2016
2016,Georgia,GA,Toombs,DONALD TRUMP,REPUBLICAN,6615,9138,Toombs County,Georgia,0.08711076074103272,0.16511226252158895,0.643078055964654,0.25257731958762886,0.555319969159599,0.022552043176561294,0.319586444572085,0.045376220562894885,0.5669050051072523,0.4330949948927477,2016
2016,Georgia,GA,Towns,DONALD TRUMP,REPUBLICAN,5383,6764,Towns County,Georgia,0.13413932066781808,0.3363399826539462,0.9652879008746356,0.012481778425655976,0.5103014530470614,0.011494252873563218,0.25739022881880025,0.06518243661100805,0.44574840436483426,0.5542515956351658,2016
2016,Georgia,GA,Treutlen,DONALD TRUMP,REPUBLICAN,1809,2703,Treutlen County,Georgia,0.09192961165048544,0.19824304538799414,0.6839517210549844,0.310683951721055,0.49845320959010053,0.01894818252126837,0.3226857887874837,0.03237722729248153,0.5496651785714286,0.45033482142857145,2016
2016,Georgia,GA,Troup,DONALD TRUMP,REPUBLICAN,15750,26111,Troup County,Georgia,0.11042612696598803,0.15165968775131028,0.5995181348645295,0.3466543555414491,0.4744709370811162,0.028352085787399974,0.27889871111411024,0.05166790381717165,0.6155120117605464,0.3844879882394537,2016
2016,Georgia,GA,Turner,DONALD TRUMP,REPUBLICAN,2095,3398,Turner County,Georgia,0.10123762376237624,0.2072488445633666,0.5593178751073488,0.40498098392835236,0.5392380332139368,0.007489417127971344,0.30811204074208803,0.0205529283375773,0.5201076630778974,0.4798923369221026,2016
