year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,County Name,State Name,Females 18-24 %,Males 65+ %,White alone %,Black or African American alone %,"less than $39,999 %","more than $200,000 %",Regular high school diploma %,Master's degree %,In labor force %,Not in labor force %
2012,Georgia,GA,Forsyth,MITT ROMNEY,REPUBLICAN,65908,81731,Forsyth County,Georgia,0.054008514653516505,0.08353769300635785,0.8616003116830319,0.027210154542836654,0.20321374395879635,0.09607718629837372,0.17510050074053177,0.10302207489949926,0.6924765762701383,0.3075234237298618
2012,Georgia,GA,Franklin,MITT ROMNEY,REPUBLICAN,6114,7762,Franklin County,Georgia,0.09940055471056634,0.14513908014321122,0.8708201178069778,0.08749433620299049,0.5572099415874471,0.004008704615737029,0.29679233911471237,0.03354985602357195,0.5318478505514292,0.4681521494485708
2012,Georgia,GA,Fulton,BARACK OBAMA,DEMOCRAT,255470,397413,Fulton County,Georgia,0.10284006041877183,0.07549986329279156,0.4582387968177637,0.4421490315049998,0.36920303708963786,0.0989348336701808,0.16561315829223283,0.12721893491124261,0.6855157281707073,0.3144842718292927
2012,Georgia,GA,Gilmer,MITT ROMNEY,REPUBLICAN,8926,11018,Gilmer County,Georgia,0.06126650575039046,0.1743955888590414,0.9332672145083593,0.004285916690280533,0.5302573203194321,0.03194321206743567,0.2636612702366127,0.034620174346201744,0.5603474886448825,0.4396525113551175
2012,Georgia,GA,Glascock,MITT ROMNEY,REPUBLICAN,1135,1333,Glascock County,Georgia,0.039141414141414144,0.1328437917222964,0.8922777417261518,0.07884490590525632,0.5456852791878173,0.001692047377326565,0.32615816565278427,0.03228825456247075,0.5961214165261383,0.40387858347386174
2012,Georgia,GA,Glynn,MITT ROMNEY,REPUBLICAN,20893,33133,Glynn County,Georgia,0.08132962927483475,0.13933776932826364,0.675792434821922,0.2561787310996132,0.4168995086231814,0.040080932652471334,0.23351500158107177,0.06673982998828147,0.6422495122965237,0.3577504877034763
2012,Georgia,GA,Gordon,MITT ROMNEY,REPUBLICAN,13197,16897,Gordon County,Georgia,0.09038654979163672,0.09964907150168154,0.8492535150021743,0.04228873749818814,0.4920287589871835,0.01557778472439304,0.27992075845478986,0.03506438375548323,0.6166294377643649,0.3833705622356352
2012,Georgia,GA,Grady,MITT ROMNEY,REPUBLICAN,5924,9396,Grady County,Georgia,0.08610809973671985,0.1262135922330097,0.6195947024094463,0.29076910802616884,0.5784908026755853,0.009301839464882944,0.33613600098195656,0.029765557874064073,0.515483637491599,0.48451636250840097
2012,Georgia,GA,Greene,MITT ROMNEY,REPUBLICAN,5071,8323,Greene County,Georgia,0.06245343928482742,0.20594907990925132,0.5699899924943708,0.3824743557668251,0.4934705791980335,0.04532186203717929,0.3469110658520027,0.05694161575016972,0.5062353563600634,0.4937646436399365
2012,Georgia,GA,Gwinnett,MITT ROMNEY,REPUBLICAN,159855,296728,Gwinnett County,Georgia,0.08040065167997545,0.06091606603115555,0.5279402040896889,0.23318825990841624,0.31105626776319767,0.04333464352663724,0.2052700963868737,0.08066776131420858,0.7175362222517613,0.2824637777482387
